alley,aly
anex,anx
arcade,arc
avenue,ave
bayou,byu
beach,bch
bend,bnd
bluff,blf
bluffs,blfs
bottom,btm
boulevard,blvd
branch,br
bridge,brg
brook,brk
brooks,brks
burg,bg
burgs,bgs
bypass,byp
camp,cp
canyon,cyn
cape,cpe
causeway,cswy
center,ctr
centers,ctrs
circle,cir
circles,cirs
cliff,clf
cliffs,clfs
club,clb
common,cmn
commons,cmns
corner,cor
corners,cors
course,crse
court,ct
courts,cts
cove,cv
coves,cvs
creek,crk
crescent,cres
crest,crst
crossing,xing
crossroad,xrd
crossroads,xrds
curve,curv
dale,dl
dam,dm
divide,dv
drive,dr
drives,drs
estate,est
estates,ests
expressway,expy
extension,ext
extrensions,exts
falls,fls
ferry,fry
field,fld
fields,flds
flat,flt
flats,flts
ford,frd
fords,frds
forest,frst
forge,frg
forges,frgs
fork,frk
forks,frks
fort,ft
freeway,fwy
garden,gdn
gardens,gdns
gateway,gtwy
glen,gln
glens,glns
green,grn
greens,grns
grove,grv
groves,grvs
harbor,hbr
harbors,hbrs
haven,hvn
heights,hts
highway,hwy
hill,hl
hills,hls
hollow,holw
inlet,inlt
island,is
islands,iss
junction,jct
junctions,jcts
key,ky
keys,kys
knoll,knl
knolls,knls
lake,lk
lakes,lks
landing,lndg
lane,ln
light,lgt
lights,lgts
loaf,lf
lock,lck
locks,lcks
lodge,ldg
manor,mnr
manors,mnrs
meadow,mdw
meadows,mdws
mill,ml
mills,mls
mission,msn
motorway,mtwy
mount,mt
mountain,mtn
mountains,mtns
neck,nck
orchard,orch
overpass,opas
parks,park
parkway,pkwy
passage,psge
pine,pne
pines,pnes
place,pl
plain,pln
plains,plns
plaza,plz
point,pt
points,pts
port,prt
ports,prts
prarie,pr
radial,radl
ranch,rnch
rapid,rpd
rapids,rpds
rest,rst
ridge,rdg
ridges,rdgs
river,riv
road,rd
roads,rds
route,rte
shoal,shl
shoals,shls
shore,shr
shores,shrs
skyway,skwy
spring,spg
springs,spgs
spurs,spur
square,sq
squares,sqs
station,sta
stravenue,stra
stream,strm
street,st
street,sts
summit,smt
terrace,ter
throughway,trwy
trace,trce
track,trak
trafficway,trfy
trail,trl
trailer,trlr
tunnel,tunl
turnpike,tpke
underpass,upas
union,un
unions,uns
valley,vly
valleys,vlys
viaduct,via
view,vw
views,vws
village,vlg
villages,vlgs
ville,vl
vista,vis
walks,walk
well,wl
wells,wls
